Team,Subject,Bracket Stage,Points Scored
Computer_Science,Nigeria Current Affairs,Round 1,12
COS2503854,General Computing & ICT,Round 1,11
COS2509134,General Computing & ICT,Round 1,5
COS2507337,General Computing & ICT,Round 1,3
UB250269,Data Processing,Round 1,2
COS2503857,General Computing & ICT,Round 1,1
COS2503854,Nigeria Current Affairs,Round 1,0
COS2509145,General Computing & ICT,Round 1,18
COS2507340,General Computing & ICT,Round 1,0
COS2509134,Nigeria Current Affairs,Round 1,1
UB250269,Nigeria Current Affairs,Round 1,3
COS2507337,Nigeria Current Affairs,Round 1,2
UB250269,General Computing & ICT,Round 1,5
COS2509145,Nigeria Current Affairs,Round 1,5
COS2503857,Nigeria Current Affairs,Round 1,4
COS2507340,Nigeria Current Affairs,Round 1,6
COS2507337,Data Processing,Round 1,1
COS2509134,Data Processing,Round 1,5
UB2502632,General Computing & ICT,Round 1,6
COS2503870,Nigeria Current Affairs,Round 1,5
COS2509145,General Mathematics,Round 1,3
COS2507340,Data Processing,Round 1,10
COS2509134,General Mathematics,Round 1,3
COS2503870,General Computing & ICT,Round 1,15
UB250269,General Mathematics,Round 1,5
COS2509145,Data Processing,Round 1,8
COS2507340,General Mathematics,Round 1,9
COS2503857,Data Processing,Round 1,9
